Variable,0,1,NA
factor_eth,1 (1-2),1 (1-2),NA (NA-NA)
factor_h,0 (0-0),0 (0-0),NA (NA-NA)
factor_pcos,3 (1-4),2 (2-3),NA (NA-NA)
factor_prl,0 (0-0),0 (0-0),NA (NA-NA)
hormone1,1.5 (1.1-2.1),1.5 (1.1-2),2.3 (2.3-2.3)
hormone2,312 (223-449.5),365.5 (255.75-490.75),236 (236-236)
hormone3,5.6 (3.4-9.4),6.05 (3.9-10.57),4.6 (4.6-4.6)
hormone4,5.5 (3.8-7.3),5.5 (3.98-8.57),7 (7-7)
hormone5,274.9 (185.82-383.04),250 (144.95-339.72),475.12 (475.12-475.12)
hormone6,64.5 (40.85-101.25),68.7 (37.22-100.75),72.6 (72.6-72.6)
hormone7,5.1 (2.7-7.6),5.1 (2.4-7.65),4.4 (4.4-4.4)
hormone8,166 (119-221),142.5 (99.75-197),112 (112-112)
hormone10_generated,0.43 (0.29-0.64),0.46 (0.29-0.62),0.13 (0.13-0.13)
lipids1,0.91 (0.69-1.18),0.98 (0.69-1.21),0.82 (0.82-0.82)
lipids2,4.33 (3.81-5),4.63 (4.07-5.34),5.52 (5.52-5.52)
lipids3,1.06 (0.91-1.27),1.09 (0.92-1.26),1.47 (1.47-1.47)
lipids4,2.81 (2.29-3.41),3.12 (2.5-3.66),3.03 (3.03-3.03)
сarb_metabolism,4.8 (4.3-5.38),4.86 ± 0.71,3.9 (3.9-3.9)
lipid_pero1,1.97 (1.5-2.52),2 (1.55-2.74),1.94 (1.94-1.94)
lipid_pero2,1.3 (0.98-1.68),1.25 (1.02-1.83),0.98 (0.98-0.98)
lipid_pero3,0.59 (0.39-0.88),0.64 (0.43-1.03),0.36 (0.36-0.36)
lipid_pero4,1.32 (0.93-1.8),1.4 (0.98-1.81),0.77 (0.77-0.77)
lipid_pero5,11.66 (9.23-14.39),11.76 ± 3.28,12.78 (12.78-12.78)
antioxidant1,1.63 (1.48-1.76),1.62 ± 0.16,1.45 (1.45-1.45)
antioxidant2,2.31 (2.01-2.62),2.28 (2-2.57),2.64 (2.64-2.64)
antioxidant3,1.96 (1.73-2.18),1.9 (1.72-2.18),2.21 (2.21-2.21)
antioxidant4,7.16 (5.36-9.58),8.32 (6.32-10.42),13.08 (13.08-13.08)
antioxidant5,0.6 (0.47-0.83),0.71 (0.58-0.88),0.9 (0.9-0.9)
