outcome,Variable,Distribution
0,antioxidant1,Non-normal
0,antioxidant2,Non-normal
0,antioxidant3,Non-normal
0,antioxidant4,Non-normal
0,antioxidant5,Non-normal
0,factor_eth,Non-normal
0,factor_h,Non-normal
0,factor_pcos,Non-normal
0,factor_prl,Non-normal
0,hormone1,Non-normal
0,hormone10_generated,Non-normal
0,hormone2,Non-normal
0,hormone3,Non-normal
0,hormone4,Non-normal
0,hormone5,Non-normal
0,hormone6,Non-normal
0,hormone7,Non-normal
0,hormone8,Non-normal
0,lipid_pero1,Non-normal
0,lipid_pero2,Non-normal
0,lipid_pero3,Non-normal
0,lipid_pero4,Non-normal
0,lipid_pero5,Non-normal
0,lipids1,Non-normal
0,lipids2,Non-normal
0,lipids3,Non-normal
0,lipids4,Non-normal
0,сarb_metabolism,Non-normal
1,antioxidant1,Normal
1,antioxidant2,Non-normal
1,antioxidant3,Non-normal
1,antioxidant4,Non-normal
1,antioxidant5,Non-normal
1,factor_eth,Non-normal
1,factor_h,Non-normal
1,factor_pcos,Non-normal
1,factor_prl,Non-normal
1,hormone1,Non-normal
1,hormone10_generated,Non-normal
1,hormone2,Non-normal
1,hormone3,Non-normal
1,hormone4,Non-normal
1,hormone5,Non-normal
1,hormone6,Non-normal
1,hormone7,Non-normal
1,hormone8,Non-normal
1,lipid_pero1,Non-normal
1,lipid_pero2,Non-normal
1,lipid_pero3,Non-normal
1,lipid_pero4,Non-normal
1,lipid_pero5,Normal
1,lipids1,Non-normal
1,lipids2,Non-normal
1,lipids3,Non-normal
1,lipids4,Non-normal
1,сarb_metabolism,Normal
NA,antioxidant1,Non-normal
NA,antioxidant2,Non-normal
NA,antioxidant3,Non-normal
NA,antioxidant4,Non-normal
NA,antioxidant5,Non-normal
NA,factor_eth,Non-normal
NA,factor_h,Non-normal
NA,factor_pcos,Non-normal
NA,factor_prl,Non-normal
NA,hormone1,Non-normal
NA,hormone10_generated,Non-normal
NA,hormone2,Non-normal
NA,hormone3,Non-normal
NA,hormone4,Non-normal
NA,hormone5,Non-normal
NA,hormone6,Non-normal
NA,hormone7,Non-normal
NA,hormone8,Non-normal
NA,lipid_pero1,Non-normal
NA,lipid_pero2,Non-normal
NA,lipid_pero3,Non-normal
NA,lipid_pero4,Non-normal
NA,lipid_pero5,Non-normal
NA,lipids1,Non-normal
NA,lipids2,Non-normal
NA,lipids3,Non-normal
NA,lipids4,Non-normal
NA,сarb_metabolism,Non-normal
