outcome,Variable,Value
0,factor_eth,1 (1-2)
0,factor_h,0 (0-0)
0,factor_pcos,3 (1-4)
0,factor_prl,0 (0-0)
0,hormone1,1.5 (1.1-2.1)
0,hormone2,312 (223-449.5)
0,hormone3,5.6 (3.4-9.4)
0,hormone4,5.5 (3.8-7.3)
0,hormone5,274.9 (185.82-383.04)
0,hormone6,64.5 (40.85-101.25)
0,hormone7,5.1 (2.7-7.6)
0,hormone8,166 (119-221)
0,hormone10_generated,0.43 (0.29-0.64)
0,lipids1,0.91 (0.69-1.18)
0,lipids2,4.33 (3.81-5)
0,lipids3,1.06 (0.91-1.27)
0,lipids4,2.81 (2.29-3.41)
0,lipids5,0.42 (0.35-0.48)
0,сarb_metabolism,4.8 (4.3-5.38)
0,lipid_pero1,1.97 (1.5-2.52)
0,lipid_pero2,1.3 (0.98-1.68)
0,lipid_pero3,0.59 (0.39-0.88)
0,lipid_pero4,1.32 (0.93-1.8)
0,lipid_pero5,11.66 (9.23-14.39)
0,antioxidant1,1.63 (1.48-1.76)
0,antioxidant2,2.31 (2.01-2.62)
0,antioxidant3,1.96 (1.73-2.18)
0,antioxidant4,7.16 (5.36-9.58)
0,antioxidant5,0.6 (0.47-0.83)
1,factor_eth,1 (1-2)
1,factor_h,0 (0-0)
1,factor_pcos,2 (2-3)
1,factor_prl,0 (0-0)
1,hormone1,1.5 (1.1-2)
1,hormone2,365.5 (255.75-490.75)
1,hormone3,6.05 (3.9-10.57)
1,hormone4,5.5 (3.98-8.57)
1,hormone5,250 (144.95-339.72)
1,hormone6,68.7 (37.22-100.75)
1,hormone7,5.1 (2.4-7.65)
1,hormone8,142.5 (99.75-197)
1,hormone10_generated,0.46 (0.29-0.62)
1,lipids1,0.98 (0.69-1.21)
1,lipids2,4.63 (4.07-5.34)
1,lipids3,1.09 (0.92-1.26)
1,lipids4,3.12 (2.5-3.66)
1,lipids5,0.42 (0.35-0.53)
1,сarb_metabolism,4.86 ± 0.71
1,lipid_pero1,2 (1.55-2.74)
1,lipid_pero2,1.25 (1.02-1.83)
1,lipid_pero3,0.64 (0.43-1.03)
1,lipid_pero4,1.4 (0.98-1.81)
1,lipid_pero5,11.76 ± 3.28
1,antioxidant1,1.62 ± 0.16
1,antioxidant2,2.28 (2-2.57)
1,antioxidant3,1.9 (1.72-2.18)
1,antioxidant4,8.32 (6.32-10.42)
1,antioxidant5,0.71 (0.58-0.88)
NA,factor_eth,NA (NA-NA)
NA,factor_h,NA (NA-NA)
NA,factor_pcos,NA (NA-NA)
NA,factor_prl,NA (NA-NA)
NA,hormone1,2.3 (2.3-2.3)
NA,hormone2,236 (236-236)
NA,hormone3,4.6 (4.6-4.6)
NA,hormone4,7 (7-7)
NA,hormone5,475.12 (475.12-475.12)
NA,hormone6,72.6 (72.6-72.6)
NA,hormone7,4.4 (4.4-4.4)
NA,hormone8,112 (112-112)
NA,hormone10_generated,0.13 (0.13-0.13)
NA,lipids1,0.82 (0.82-0.82)
NA,lipids2,5.52 (5.52-5.52)
NA,lipids3,1.47 (1.47-1.47)
NA,lipids4,3.03 (3.03-3.03)
NA,lipids5,0.42 (0.42-0.42)
NA,сarb_metabolism,3.9 (3.9-3.9)
NA,lipid_pero1,1.94 (1.94-1.94)
NA,lipid_pero2,0.98 (0.98-0.98)
NA,lipid_pero3,0.36 (0.36-0.36)
NA,lipid_pero4,0.77 (0.77-0.77)
NA,lipid_pero5,12.78 (12.78-12.78)
NA,antioxidant1,1.45 (1.45-1.45)
NA,antioxidant2,2.64 (2.64-2.64)
NA,antioxidant3,2.21 (2.21-2.21)
NA,antioxidant4,13.08 (13.08-13.08)
NA,antioxidant5,0.9 (0.9-0.9)
